IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.14.220,2096,2096,true,SIN,Asia Pacific,Singapore,150,2.59
47.237.95.146,2096,2096,true,SIN,Asia Pacific,Singapore,149,1.47
47.236.145.85,2096,2096,true,SIN,Asia Pacific,Singapore,195,1.29
47.237.0.31,2096,2096,true,SIN,Asia Pacific,Singapore,150,1.13
47.237.125.8,2096,2096,true,SIN,Asia Pacific,Singapore,141,1.08
47.76.94.15,2096,2096,true,HKG,Asia Pacific,Hong Kong,516,0.59
47.236.118.216,2096,2096,true,SIN,Asia Pacific,Singapore,200,0.59
47.236.237.90,2096,2096,true,SIN,Asia Pacific,Singapore,184,0.53
47.237.8.82,2096,2096,true,SIN,Asia Pacific,Singapore,149,0.51
47.237.11.182,2096,2096,true,SIN,Asia Pacific,Singapore,144,0.49
47.236.170.225,2096,2096,true,SIN,Asia Pacific,Singapore,196,0.45
47.236.180.24,2096,2096,true,SIN,Asia Pacific,Singapore,201,0.43
47.236.180.51,2096,2096,true,SIN,Asia Pacific,Singapore,199,0.42
47.236.80.110,2096,2096,true,SIN,Asia Pacific,Singapore,192,0.38
47.237.84.173,2096,2096,true,SIN,Asia Pacific,Singapore,142,0.37
47.237.121.38,2096,2096,true,SIN,Asia Pacific,Singapore,148,0.35
47.236.167.231,2096,2096,true,SIN,Asia Pacific,Singapore,195,0.32
47.236.125.62,2096,2096,true,NRT,Asia Pacific,Tokyo,273,0.29
47.236.117.48,2096,2096,true,SIN,Asia Pacific,Singapore,202,0.27
47.236.130.95,2096,2096,true,SIN,Asia Pacific,Singapore,189,0.26
47.236.17.193,2096,2096,true,SIN,Asia Pacific,Singapore,190,0.25
146.56.133.140,2096,80,false,NRT,Asia Pacific,Tokyo,246,0.24
47.237.95.156,2096,2096,true,SIN,Asia Pacific,Singapore,153,0.17
47.236.164.215,2096,2096,true,SIN,Asia Pacific,Singapore,193,0.17
52.56.213.90,2096,443,true,LHR,Europe,London,547,0.15
3.10.171.39,2096,443,true,LHR,Europe,London,301,0.13
47.236.146.249,2096,2096,true,SIN,Asia Pacific,Singapore,203,0.11
47.76.37.57,2096,2096,true,HKG,Asia Pacific,Hong Kong,108,0.03
47.76.49.246,2096,2096,true,HKG,Asia Pacific,Hong Kong,496,0.02
3.67.67.241,2096,443,true,FRA,Europe,Frankfurt,483,0.01
130.61.109.6,2096,0,true,FRA,Europe,Frankfurt,552,0.00
