IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.237.8.82,8443,8443,true,SIN,Asia Pacific,Singapore,91,4.16
156.251.189.154,8443,443,true,LAX,North America,Los Angeles,400,3.63
47.237.95.146,8443,8443,true,SIN,Asia Pacific,Singapore,93,3.49
47.236.253.41,8443,8443,true,SIN,Asia Pacific,Singapore,142,2.82
207.60.50.24,8443,443,true,LAX,North America,Los Angeles,362,2.21
47.236.145.85,8443,8443,true,SIN,Asia Pacific,Singapore,148,1.95
47.236.189.92,8443,8443,true,SIN,Asia Pacific,Singapore,134,1.95
47.236.146.249,8443,8443,true,SIN,Asia Pacific,Singapore,132,1.85
35.157.229.137,8443,443,true,FRA,Europe,Frankfurt,403,1.81
154.21.95.27,8443,443,true,LAX,North America,Los Angeles,374,1.70
20.47.95.148,8443,443,true,BOM,Asia Pacific,Mumbai,332,1.51
154.17.26.175,8443,443,true,LAX,North America,Los Angeles,371,1.22
47.236.237.90,8443,8443,true,SIN,Asia Pacific,Singapore,135,1.10
47.76.77.103,8443,8443,true,HKG,Asia Pacific,Hong Kong,686,1.09
52.38.230.144,8443,443,true,SEA,North America,Seattle,412,0.93
54.149.153.213,8443,443,true,SEA,North America,Seattle,214,0.82
47.236.75.152,8443,8443,true,SIN,Asia Pacific,Singapore,132,0.79
20.90.163.76,8443,443,true,MAN,Europe,Manchester,468,0.65
3.11.114.146,8443,443,true,LHR,Europe,London,491,0.61
3.98.54.22,8443,443,true,YUL,North America,Montréal,257,0.51
35.183.50.160,8443,443,true,YUL,North America,Montréal,518,0.44
13.42.158.50,8443,443,true,LHR,Europe,London,443,0.42
51.120.12.12,8443,443,true,CPH,Europe,Copenhagen,498,0.39
3.140.142.249,8443,443,true,ORD,North America,Chicago,235,0.37
47.76.146.1,8443,8443,true,HKG,Asia Pacific,Hong Kong,417,0.30
47.76.37.57,8443,8443,true,HKG,Asia Pacific,Hong Kong,44,0.26
35.246.168.59,8443,443,true,FRA,Europe,Frankfurt,608,0.23
51.44.25.198,8443,443,true,CDG,Europe,Paris,400,0.22
52.214.238.175,8443,443,true,DUB,Europe,Dublin,261,0.21
51.107.9.31,8443,443,true,MXP,Europe,Milan,456,0.20
54.213.215.13,8443,443,true,SEA,North America,Seattle,421,0.18
47.76.49.246,8443,8443,true,HKG,Asia Pacific,Hong Kong,359,0.17
23.94.95.60,8443,443,true,ATL,North America,Atlanta,497,0.17
18.135.107.117,8443,443,true,LHR,Europe,London,494,0.16
89.168.52.251,8443,443,true,CDG,Europe,Paris,558,0.15
192.210.243.216,8443,443,true,BUF,North America,Buffalo,514,0.08
3.126.221.11,8443,443,true,FRA,Europe,Frankfurt,246,0.05
3.68.149.251,8443,443,true,FRA,Europe,Frankfurt,417,0.04
35.156.134.213,8443,443,true,FRA,Europe,Frankfurt,423,0.04
54.246.24.24,8443,443,true,DUB,Europe,Dublin,456,0.04
3.71.165.64,8443,443,true,FRA,Europe,Frankfurt,394,0.03
193.123.61.142,8443,443,true,AMS,Europe,Amsterdam,251,0.03
3.77.188.47,8443,443,true,FRA,Europe,Frankfurt,477,0.02
15.237.185.115,8443,443,true,CDG,Europe,Paris,411,0.01
144.24.169.81,8443,0,true,FRA,Europe,Frankfurt,501,0.00
34.126.119.120,8443,0,true,SIN,Asia Pacific,Singapore,193,0.00
152.70.123.225,8443,0,true,SJC,North America,San Jose,186,0.00
34.163.89.60,8443,443,true,CDG,Europe,Paris,601,0.00
192.227.227.87,8443,443,true,BUF,North America,Buffalo,523,0.00
192.3.59.191,8443,443,true,SJC,North America,San Jose,389,0.00
158.101.215.45,8443,443,true,AMS,Europe,Amsterdam,502,0.00
