IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.123.133,2082,2082,false,SIN,Asia Pacific,Singapore,135,3.22
47.237.10.1,2082,2082,false,SIN,Asia Pacific,Singapore,87,2.32
47.236.83.239,2082,2082,false,SIN,Asia Pacific,Singapore,147,2.22
47.237.8.82,2082,2082,false,SIN,Asia Pacific,Singapore,94,2.21
47.236.121.23,2082,2082,false,SIN,Asia Pacific,Singapore,131,2.13
47.236.164.215,2082,2082,false,SIN,Asia Pacific,Singapore,137,1.66
47.236.104.11,2082,2082,false,SIN,Asia Pacific,Singapore,135,1.39
47.236.5.223,2082,2082,false,SIN,Asia Pacific,Singapore,145,1.38
47.237.83.20,2082,2082,false,SIN,Asia Pacific,Singapore,91,1.34
47.237.14.220,2082,2082,false,SIN,Asia Pacific,Singapore,98,1.32
47.236.169.164,2082,2082,false,SIN,Asia Pacific,Singapore,134,1.27
47.236.172.95,2082,2082,false,SIN,Asia Pacific,Singapore,136,1.23
47.237.95.146,2082,2082,false,SIN,Asia Pacific,Singapore,90,1.23
47.236.254.120,2082,2082,false,SIN,Asia Pacific,Singapore,137,1.20
47.236.9.152,2082,2082,false,SIN,Asia Pacific,Singapore,132,1.18
47.236.10.182,2082,2082,false,SIN,Asia Pacific,Singapore,134,1.18
47.236.180.51,2082,2082,false,SIN,Asia Pacific,Singapore,135,1.17
47.236.237.90,2082,2082,false,SIN,Asia Pacific,Singapore,142,1.15
47.237.95.156,2082,2082,false,SIN,Asia Pacific,Singapore,93,1.14
47.236.93.176,2082,2082,false,SIN,Asia Pacific,Singapore,145,1.07
47.236.168.17,2082,2082,false,SIN,Asia Pacific,Singapore,136,1.01
47.237.11.182,2082,2082,false,SIN,Asia Pacific,Singapore,91,1.01
47.236.150.13,2082,2082,false,SIN,Asia Pacific,Singapore,152,0.99
47.236.169.141,2082,2082,false,SIN,Asia Pacific,Singapore,138,0.96
47.236.75.152,2082,2082,false,SIN,Asia Pacific,Singapore,144,0.96
47.236.144.48,2082,2082,false,SIN,Asia Pacific,Singapore,140,0.96
47.237.92.26,2082,2082,false,SIN,Asia Pacific,Singapore,97,0.95
47.236.171.205,2082,2082,false,SIN,Asia Pacific,Singapore,136,0.93
47.237.95.140,2082,2082,false,SIN,Asia Pacific,Singapore,86,0.93
47.236.232.148,2082,2082,false,SIN,Asia Pacific,Singapore,135,0.93
47.237.121.38,2082,2082,false,SIN,Asia Pacific,Singapore,90,0.92
47.237.86.185,2082,2082,false,SIN,Asia Pacific,Singapore,91,0.91
47.236.144.208,2082,2082,false,SIN,Asia Pacific,Singapore,147,0.89
47.76.37.57,2082,2082,false,HKG,Asia Pacific,Hong Kong,41,0.89
47.236.169.15,2082,2082,false,SIN,Asia Pacific,Singapore,127,0.82
47.236.145.85,2082,2082,false,SIN,Asia Pacific,Singapore,136,0.80
47.237.81.112,2082,2082,false,SIN,Asia Pacific,Singapore,90,0.80
47.237.82.15,2082,2082,false,SIN,Asia Pacific,Singapore,99,0.78
152.70.155.147,2082,2082,false,LAX,North America,Los Angeles,218,0.78
47.236.144.196,2082,2082,false,SIN,Asia Pacific,Singapore,142,0.76
47.236.202.91,2082,2082,false,SIN,Asia Pacific,Singapore,135,0.76
47.236.118.216,2082,2082,false,SIN,Asia Pacific,Singapore,134,0.74
47.236.102.102,2082,2082,false,SIN,Asia Pacific,Singapore,141,0.70
47.236.170.54,2082,2082,false,SIN,Asia Pacific,Singapore,128,0.68
47.236.165.25,2082,2082,false,SIN,Asia Pacific,Singapore,140,0.65
47.236.97.90,2082,2082,false,SIN,Asia Pacific,Singapore,132,0.63
47.236.144.156,2082,2082,false,SIN,Asia Pacific,Singapore,138,0.63
47.236.75.113,2082,2082,false,SIN,Asia Pacific,Singapore,141,0.61
47.236.125.62,2082,2082,false,NRT,Asia Pacific,Tokyo,217,0.60
47.236.189.92,2082,2082,false,SIN,Asia Pacific,Singapore,140,0.58
47.236.17.193,2082,2082,false,SIN,Asia Pacific,Singapore,133,0.53
47.236.172.71,2082,2082,false,SIN,Asia Pacific,Singapore,141,0.51
47.236.80.110,2082,2082,false,SIN,Asia Pacific,Singapore,129,0.51
47.236.130.95,2082,2082,false,SIN,Asia Pacific,Singapore,142,0.45
47.236.167.231,2082,2082,false,SIN,Asia Pacific,Singapore,135,0.44
47.76.178.146,2082,2082,false,HKG,Asia Pacific,Hong Kong,397,0.42
47.236.117.48,2082,2082,false,SIN,Asia Pacific,Singapore,135,0.40
47.236.87.246,2082,2082,false,SIN,Asia Pacific,Singapore,135,0.40
181.36.229.212,2082,2082,false,SDQ,North America,Santo Domingo,315,0.35
47.76.94.15,2082,2082,false,HKG,Asia Pacific,Hong Kong,489,0.34
47.76.32.108,2082,2082,false,HKG,Asia Pacific,Hong Kong,45,0.31
47.236.10.100,2082,2082,false,SIN,Asia Pacific,Singapore,138,0.22
112.80.19.189,2082,2082,false,TPE,Asia Pacific,Taipei,61,0.00
