IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
35.244.203.169,80,80,false,LHR,Europe,London,337,6.18
47.236.150.13,80,80,false,SIN,Asia Pacific,Singapore,273,4.99
47.237.95.140,80,80,false,SIN,Asia Pacific,Singapore,92,3.24
47.236.144.156,80,80,false,SIN,Asia Pacific,Singapore,137,2.99
47.236.10.100,80,80,false,SIN,Asia Pacific,Singapore,265,2.87
47.236.170.225,80,80,false,SIN,Asia Pacific,Singapore,265,2.54
47.238.48.58,80,443,true,SIN,Asia Pacific,Singapore,91,2.23
35.247.124.181,80,80,false,SEA,North America,Seattle,514,2.13
47.237.92.26,80,80,false,SIN,Asia Pacific,Singapore,190,1.97
47.237.0.31,80,80,false,SIN,Asia Pacific,Singapore,185,1.95
47.236.144.196,80,80,false,SIN,Asia Pacific,Singapore,135,1.94
47.237.10.1,80,80,false,SIN,Asia Pacific,Singapore,94,1.88
47.237.100.206,80,80,false,SIN,Asia Pacific,Singapore,175,1.84
47.236.180.24,80,80,false,SIN,Asia Pacific,Singapore,144,1.83
172.179.181.196,80,80,false,SEA,North America,Seattle,436,1.82
47.237.82.15,80,80,false,SIN,Asia Pacific,Singapore,175,1.74
47.76.245.164,80,443,true,SIN,Asia Pacific,Singapore,80,1.66
47.76.146.1,80,80,false,HKG,Asia Pacific,Hong Kong,647,1.48
34.36.41.236,80,80,false,LHR,Europe,London,487,1.25
47.236.83.239,80,80,false,SIN,Asia Pacific,Singapore,280,1.08
47.236.149.107,80,80,false,SIN,Asia Pacific,Singapore,134,1.03
47.237.125.8,80,80,false,SIN,Asia Pacific,Singapore,92,0.95
47.76.178.146,80,80,false,HKG,Asia Pacific,Hong Kong,542,0.93
47.236.93.176,80,80,false,SIN,Asia Pacific,Singapore,134,0.92
47.237.86.185,80,80,false,SIN,Asia Pacific,Singapore,186,0.89
152.32.211.127,80,80,false,LAX,North America,Los Angeles,370,0.87
47.237.8.82,80,80,false,SIN,Asia Pacific,Singapore,91,0.80
47.237.94.140,80,80,false,SIN,Asia Pacific,Singapore,98,0.75
47.236.172.71,80,80,false,SIN,Asia Pacific,Singapore,268,0.67
34.117.85.52,80,80,false,LHR,Europe,London,551,0.65
47.236.254.120,80,80,false,SIN,Asia Pacific,Singapore,280,0.64
47.238.36.145,80,443,true,KUL,Asia Pacific,Kuala Lumpur,90,0.63
47.237.83.20,80,80,false,SIN,Asia Pacific,Singapore,185,0.63
35.204.38.185,80,443,true,AMS,Europe,Amsterdam,584,0.61
47.236.168.17,80,80,false,SIN,Asia Pacific,Singapore,278,0.54
47.237.84.173,80,80,false,SIN,Asia Pacific,Singapore,91,0.51
34.54.131.16,80,80,false,LAX,North America,Los Angeles,416,0.47
104.155.193.180,80,80,false,HKG,Asia Pacific,Hong Kong,144,0.46
34.49.212.232,80,80,false,LHR,Europe,London,431,0.45
47.236.144.48,80,80,false,SIN,Asia Pacific,Singapore,137,0.39
34.93.226.165,80,80,false,BOM,Asia Pacific,Mumbai,350,0.38
52.57.229.96,80,80,false,FRA,Europe,Frankfurt,448,0.37
34.111.135.19,80,80,false,LAX,North America,Los Angeles,290,0.23
34.36.183.121,80,80,false,HKG,Asia Pacific,Hong Kong,281,0.22
47.76.32.108,80,80,false,HKG,Asia Pacific,Hong Kong,95,0.21
47.239.13.168,80,443,true,SIN,Asia Pacific,Singapore,83,0.20
34.117.254.68,80,80,false,HKG,Asia Pacific,Hong Kong,291,0.16
47.238.48.153,80,443,true,KUL,Asia Pacific,Kuala Lumpur,89,0.14
47.239.12.227,80,443,true,SIN,Asia Pacific,Singapore,42,0.13
34.105.49.234,80,80,false,SEA,North America,Seattle,555,0.12
170.106.35.96,80,80,false,IAD,North America,Ashburn,536,0.12
52.163.67.59,80,80,false,SIN,Asia Pacific,Singapore,149,0.09
20.204.43.57,80,443,false,BOM,Asia Pacific,Mumbai,264,0.03
52.29.224.33,80,80,false,FRA,Europe,Frankfurt,456,0.00
18.196.93.254,80,80,false,FRA,Europe,Frankfurt,395,0.00
48.218.205.147,80,80,false,NRT,Asia Pacific,Tokyo,237,0.00
48.218.205.189,80,80,false,NRT,Asia Pacific,Tokyo,231,0.00
48.218.205.142,80,80,false,NRT,Asia Pacific,Tokyo,238,0.00
54.219.34.57,80,443,true,SJC,North America,San Jose,366,0.00
13.57.51.213,80,443,true,SJC,North America,San Jose,379,0.00
3.101.73.167,80,443,true,SJC,North America,San Jose,382,0.00
52.53.250.40,80,443,true,SJC,North America,San Jose,356,0.00
48.218.62.72,80,80,false,NRT,Asia Pacific,Tokyo,231,0.00
54.153.85.10,80,443,true,SJC,North America,San Jose,361,0.00
172.207.129.21,80,80,false,NRT,Asia Pacific,Tokyo,231,0.00
52.10.78.7,80,443,true,SEA,North America,Seattle,387,0.00
48.218.62.60,80,80,false,NRT,Asia Pacific,Tokyo,223,0.00
48.218.205.130,80,80,false,NRT,Asia Pacific,Tokyo,232,0.00
204.110.220.172,80,443,true,SEA,North America,Seattle,407,0.00
54.177.197.172,80,443,true,SJC,North America,San Jose,400,0.00
48.218.205.148,80,80,false,NRT,Asia Pacific,Tokyo,234,0.00
54.219.238.189,80,443,true,SJC,North America,San Jose,399,0.00
204.110.220.120,80,443,true,SEA,North America,Seattle,403,0.00
204.110.220.1,80,443,true,SEA,North America,Seattle,404,0.00
204.110.220.209,80,443,true,SEA,North America,Seattle,409,0.00
52.53.247.43,80,443,true,SJC,North America,San Jose,390,0.00
204.110.220.205,80,443,true,SEA,North America,Seattle,404,0.00
204.110.220.240,80,443,true,SEA,North America,Seattle,403,0.00
204.110.220.3,80,443,true,SEA,North America,Seattle,418,0.00
204.110.221.224,80,443,true,SEA,North America,Seattle,418,0.00
204.110.221.45,80,443,true,SEA,North America,Seattle,412,0.00
204.110.221.33,80,443,true,SEA,North America,Seattle,412,0.00
204.110.220.248,80,443,true,SEA,North America,Seattle,402,0.00
204.110.221.35,80,443,true,SEA,North America,Seattle,420,0.00
204.110.221.143,80,443,true,SEA,North America,Seattle,420,0.00
13.40.151.125,80,443,true,LHR,Europe,London,440,0.00
204.110.220.12,80,443,true,SEA,North America,Seattle,409,0.00
135.236.12.230,80,80,false,AMS,Europe,Amsterdam,477,0.00
99.80.88.225,80,443,true,DUB,Europe,Dublin,481,0.00
67.226.222.2,80,443,true,ORD,North America,Chicago,460,0.00
204.110.223.89,80,443,true,ORD,North America,Chicago,465,0.00
50.18.133.190,80,443,true,SJC,North America,San Jose,372,0.00
67.226.222.120,80,443,true,ORD,North America,Chicago,467,0.00
35.183.163.195,80,443,true,YUL,North America,Montréal,532,0.00
3.141.95.66,80,8080,false,ORD,North America,Chicago,485,0.00
204.110.220.29,80,443,true,SEA,North America,Seattle,398,0.00
204.110.223.205,80,443,true,ORD,North America,Chicago,451,0.00
204.110.223.172,80,443,true,ORD,North America,Chicago,474,0.00
67.226.222.173,80,443,true,ORD,North America,Chicago,477,0.00
67.226.222.108,80,443,true,ORD,North America,Chicago,494,0.00
172.207.129.201,80,80,false,NRT,Asia Pacific,Tokyo,231,0.00
204.110.223.116,80,443,true,ORD,North America,Chicago,454,0.00
204.110.223.200,80,443,true,ORD,North America,Chicago,462,0.00
204.110.223.31,80,443,true,ORD,North America,Chicago,465,0.00
204.110.223.195,80,443,true,ORD,North America,Chicago,485,0.00
204.110.223.53,80,443,true,ORD,North America,Chicago,461,0.00
67.226.222.198,80,443,true,ORD,North America,Chicago,480,0.00
67.226.222.117,80,443,true,ORD,North America,Chicago,462,0.00
67.226.222.180,80,443,true,ORD,North America,Chicago,486,0.00
111.250.0.192,80,80,false,TPE,Asia Pacific,Taipei,133,0.00
47.236.169.15,80,80,false,SIN,Asia Pacific,Singapore,271,0.00
47.236.97.90,80,80,false,SIN,Asia Pacific,Singapore,277,0.00
47.236.146.249,80,80,false,SIN,Asia Pacific,Singapore,134,0.00
47.236.87.246,80,80,false,SIN,Asia Pacific,Singapore,264,0.00
