IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
210.186.12.244,443,0,true,HKG,Asia Pacific,Hong Kong,224,5.87
47.76.204.92,443,0,true,HKG,Asia Pacific,Hong Kong,76,5.50
8.219.70.151,443,443,true,SIN,Asia Pacific,Singapore,189,5.32
8.219.144.168,443,443,true,SIN,Asia Pacific,Singapore,264,4.94
47.236.130.95,443,443,true,SIN,Asia Pacific,Singapore,280,4.05
13.250.131.37,443,443,true,SIN,Asia Pacific,Singapore,158,3.59
185.151.243.200,443,443,true,LED,Europe,Saint Petersburg,253,3.42
193.0.239.232,443,0,true,RIX,Europe,Riga,475,3.20
31.129.48.139,443,443,true,LED,Europe,Saint Petersburg,263,3.18
47.236.146.249,443,0,true,SIN,Asia Pacific,Singapore,130,2.78
47.236.164.215,443,0,true,SIN,Asia Pacific,Singapore,131,2.77
193.122.56.209,443,443,true,FRA,Europe,Frankfurt,492,2.46
192.9.224.194,443,0,true,SJC,North America,San Jose,385,2.40
107.173.250.62,443,443,true,BUF,North America,Buffalo,512,2.39
158.220.86.145,443,443,true,LHR,Europe,London,506,2.36
194.5.98.14,443,443,true,AMS,Europe,Amsterdam,282,2.29
207.226.152.42,443,443,true,HKG,Asia Pacific,Hong Kong,104,2.23
154.17.25.65,443,443,true,LAX,North America,Los Angeles,376,2.21
18.216.55.100,443,0,true,ORD,North America,Chicago,482,2.19
34.154.65.13,443,443,true,FRA,Europe,Frankfurt,534,2.18
141.147.86.8,443,443,true,FRA,Europe,Frankfurt,506,2.12
54.217.49.200,443,443,true,DUB,Europe,Dublin,437,2.10
129.146.133.33,443,443,true,LAX,North America,Los Angeles,418,2.09
158.178.156.149,443,443,true,FRA,Europe,Frankfurt,244,2.07
34.154.80.172,443,443,true,FRA,Europe,Frankfurt,511,2.01
158.101.217.4,443,443,true,FRA,Europe,Frankfurt,502,1.99
18.202.157.192,443,443,true,DUB,Europe,Dublin,510,1.98
144.21.32.168,443,443,true,FRA,Europe,Frankfurt,503,1.96
