IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
47.236.165.25,2083,2083,true,SIN,Asia Pacific,Singapore,143,5.62
47.237.82.15,2083,2083,true,SIN,Asia Pacific,Singapore,97,2.72
47.236.144.208,2083,2083,true,SIN,Asia Pacific,Singapore,137,2.30
47.236.145.85,2083,2083,true,SIN,Asia Pacific,Singapore,138,2.02
47.237.100.206,2083,2083,true,SIN,Asia Pacific,Singapore,98,1.83
47.236.117.48,2083,2083,true,SIN,Asia Pacific,Singapore,135,1.71
47.76.49.246,2083,2083,true,HKG,Asia Pacific,Hong Kong,698,1.65
47.237.92.26,2083,2083,true,SIN,Asia Pacific,Singapore,98,1.36
47.236.167.231,2083,2083,true,SIN,Asia Pacific,Singapore,136,1.35
47.236.80.110,2083,2083,true,SIN,Asia Pacific,Singapore,146,1.33
47.236.180.24,2083,2083,true,SIN,Asia Pacific,Singapore,137,1.28
47.236.189.92,2083,2083,true,SIN,Asia Pacific,Singapore,143,1.26
47.236.75.152,2083,2083,true,SIN,Asia Pacific,Singapore,141,1.16
47.236.102.102,2083,2083,true,SIN,Asia Pacific,Singapore,134,1.08
47.236.170.225,2083,2083,true,SIN,Asia Pacific,Singapore,132,1.06
47.236.253.41,2083,2083,true,SIN,Asia Pacific,Singapore,137,0.97
47.237.95.13,2083,2083,true,SIN,Asia Pacific,Singapore,85,0.92
47.236.118.216,2083,2083,true,SIN,Asia Pacific,Singapore,140,0.90
47.76.32.108,2083,2083,true,HKG,Asia Pacific,Hong Kong,229,0.84
47.237.125.8,2083,2083,true,SIN,Asia Pacific,Singapore,93,0.79
47.237.95.146,2083,2083,true,SIN,Asia Pacific,Singapore,93,0.69
47.237.121.38,2083,2083,true,SIN,Asia Pacific,Singapore,82,0.65
47.76.94.15,2083,2083,true,HKG,Asia Pacific,Hong Kong,47,0.62
47.236.237.90,2083,2083,true,SIN,Asia Pacific,Singapore,135,0.56
47.236.130.95,2083,2083,true,SIN,Asia Pacific,Singapore,137,0.54
47.236.202.91,2083,2083,true,SIN,Asia Pacific,Singapore,134,0.53
47.236.205.188,2083,2083,true,SIN,Asia Pacific,Singapore,137,0.51
47.237.83.20,2083,2083,true,SIN,Asia Pacific,Singapore,87,0.48
3.15.147.151,2083,443,true,ORD,North America,Chicago,480,0.46
54.74.253.197,2083,443,true,DUB,Europe,Dublin,505,0.42
47.237.84.173,2083,2083,true,SIN,Asia Pacific,Singapore,86,0.41
47.236.104.11,2083,2083,true,SIN,Asia Pacific,Singapore,146,0.33
15.236.98.18,2083,443,true,CDG,Europe,Paris,402,0.22
47.76.37.57,2083,2083,true,HKG,Asia Pacific,Hong Kong,200,0.20
18.185.91.141,2083,443,true,FRA,Europe,Frankfurt,458,0.19
47.76.178.146,2083,2083,true,HKG,Asia Pacific,Hong Kong,627,0.15
13.36.114.136,2083,443,true,CDG,Europe,Paris,430,0.15
3.252.142.72,2083,443,true,DUB,Europe,Dublin,520,0.14
108.174.50.200,2083,443,true,ORD,North America,Chicago,503,0.14
51.120.120.178,2083,443,true,CPH,Europe,Copenhagen,506,0.06
3.65.226.131,2083,443,true,FRA,Europe,Frankfurt,448,0.04
146.56.133.140,2083,80,false,NRT,Asia Pacific,Tokyo,91,0.00
152.70.155.147,2083,2083,true,LAX,North America,Los Angeles,221,0.00
193.122.101.68,2083,2083,true,ICN,Asia Pacific,Seoul,170,0.00
47.237.8.82,2083,2083,true,SIN,Asia Pacific,Singapore,102,0.00
